## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates  --INPUT results/bwa/testT-B/testT-B.1.realn.bam --OUTPUT results/markduplicates/testT-B.realn.dedup.bam --METRICS_FILE results/markduplicates/testT-B.metrics.txt --CREATE_INDEX true  --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 1 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jun 01 13:14:42 EDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
3370352	190	2836	0	190	135	137	0	0.069771	28400

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	0.999999
2.0	1.904963
3.0	2.723924
4.0	3.465055
5.0	4.135752
6.0	4.742709
7.0	5.291984
8.0	5.789059
9.0	6.238894
10.0	6.645979
11.0	7.014377
12.0	7.347764
13.0	7.649467
14.0	7.922498
15.0	8.169582
16.0	8.393184
17.0	8.595536
18.0	8.778657
19.0	8.944375
20.0	9.094345
21.0	9.230061
22.0	9.352881
23.0	9.464027
24.0	9.564612
25.0	9.655637
26.0	9.738011
27.0	9.812557
28.0	9.880019
29.0	9.941069
30.0	9.996317
31.0	10.046315
32.0	10.091561
33.0	10.132508
34.0	10.169563
35.0	10.203096
36.0	10.233443
37.0	10.260905
38.0	10.285758
39.0	10.308249
40.0	10.328602
41.0	10.347021
42.0	10.36369
43.0	10.378774
44.0	10.392425
45.0	10.404779
46.0	10.415959
47.0	10.426076
48.0	10.435231
49.0	10.443517
50.0	10.451015
51.0	10.457801
52.0	10.463941
53.0	10.469499
54.0	10.474528
55.0	10.479079
56.0	10.483197
57.0	10.486924
58.0	10.490297
59.0	10.49335
60.0	10.496112
61.0	10.498612
62.0	10.500874
63.0	10.502921
64.0	10.504774
65.0	10.50645
66.0	10.507968
67.0	10.509341
68.0	10.510583
69.0	10.511708
70.0	10.512725
71.0	10.513646
72.0	10.51448
73.0	10.515234
74.0	10.515916
75.0	10.516534
76.0	10.517093
77.0	10.517599
78.0	10.518057
79.0	10.518471
80.0	10.518846
81.0	10.519185
82.0	10.519492
83.0	10.51977
84.0	10.520021
85.0	10.520249
86.0	10.520455
87.0	10.520641
88.0	10.52081
89.0	10.520962
90.0	10.521101
91.0	10.521226
92.0	10.521339
93.0	10.521441
94.0	10.521534
95.0	10.521617
96.0	10.521693
97.0	10.521762
98.0	10.521824
99.0	10.52188
100.0	10.521931

