Sample	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-percent_gc	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-total_sequences	Picard_mqc-generalstats-PERCENT_DUPLICATION	Picard_mqc-generalstats-MEDIAN_COVERAGE	Picard_mqc-generalstats-PCT_30X
testN-A.6172_7#3	1.214574898785429	39.0	100.0	16.666666666666664	494.0			
testN-A.6206_7#3	0.23474178403756696	40.0	100.0	16.666666666666664	426.0			
testN-A.6209_1#3	0.45045045045044674	39.0	100.0	8.333333333333332	444.0			
testN-A.6209_1#3.realn						0.005804		
testN-A.6209_2#3	0.4405286343612431	40.0	100.0	8.333333333333332	454.0			
testN-A.6209_3#3	0.8064516129032313	40.0	100.0	16.666666666666664	496.0			
testN-A.6209_4#3	0.6302521008403374	40.0	100.0	16.666666666666664	476.0			
testN-A.6209_5#3	1.8264840182648356	39.0	100.0	16.666666666666664	438.0			
testN-A.6209_6#3	0.6976744186046488	40.0	100.0	16.666666666666664	430.0			
testN-A.6209_7#3	0.23696682464454	41.0	100.0	16.666666666666664	422.0			
testN-A.6209_8#3	0.9389671361502394	39.0	100.0	8.333333333333332	426.0			
testN-A.realn							0.0	0.0
testT-A.6172_7#3	1.214574898785429	39.0	100.0	16.666666666666664	494.0			
testT-A.6172_7#3.realn						0.005804		
testT-A.6206_7#3	0.23474178403756696	40.0	100.0	16.666666666666664	426.0			
testT-A.6209_1#3	0.45045045045044674	39.0	100.0	8.333333333333332	444.0			
testT-A.6209_2#3	0.4405286343612431	40.0	100.0	8.333333333333332	454.0			
testT-A.6209_3#3	0.8064516129032313	40.0	100.0	16.666666666666664	496.0			
testT-A.6209_4#3	0.6302521008403374	40.0	100.0	16.666666666666664	476.0			
testT-A.6209_5#3	1.8264840182648356	39.0	100.0	16.666666666666664	438.0			
testT-A.6209_6#3	0.6976744186046488	40.0	100.0	16.666666666666664	430.0			
testT-A.6209_7#3	0.23696682464454	41.0	100.0	16.666666666666664	422.0			
testT-A.6209_8#3	0.9389671361502394	39.0	100.0	8.333333333333332	426.0			
testT-A.realn							0.0	0.0
testT-B.1	60.4097818902842	61.0	50.0	16.666666666666664	6052.0			
testT-B.1.realn						0.069771		
testT-B.realn							0.0	0.0
