Module	Section	Sample Name	Source
GATK	base_recalibrator	testT-A.bqsr	/projects/barthf/GLASS-WG/results/bqsr/testT-A.bqsr.txt
GATK	base_recalibrator	testT-B.bqsr	/projects/barthf/GLASS-WG/results/bqsr/testT-B.bqsr.txt
GATK	base_recalibrator	testN-A.bqsr	/projects/barthf/GLASS-WG/results/bqsr/testN-A.bqsr.txt
Picard	DuplicationMetrics	testT-B.1.realn	/projects/barthf/GLASS-WG/results/markduplicates/testT-B.metrics.txt
Picard	DuplicationMetrics	testN-A.6209_1#3.realn	/projects/barthf/GLASS-WG/results/markduplicates/testN-A.metrics.txt
Picard	DuplicationMetrics	testT-A.6172_7#3.realn	/projects/barthf/GLASS-WG/results/markduplicates/testT-A.metrics.txt
Picard	WgsMetrics	testT-A.realn	/projects/barthf/GLASS-WG/results/qc/testT-A.WgsMetrics.txt
Picard	WgsMetrics	testT-B.realn	/projects/barthf/GLASS-WG/results/qc/testT-B.WgsMetrics.txt
Picard	WgsMetrics	testN-A.realn	/projects/barthf/GLASS-WG/results/qc/testN-A.WgsMetrics.txt
FastQC	all_sections	testT-A.6209_3#3	/projects/barthf/GLASS-WG/results/qc/testT-A/testT-A.6209_3#3_fastqc.zip
FastQC	all_sections	testT-A.6209_6#3	/projects/barthf/GLASS-WG/results/qc/testT-A/testT-A.6209_6#3_fastqc.zip
FastQC	all_sections	testT-A.6209_2#3	/projects/barthf/GLASS-WG/results/qc/testT-A/testT-A.6209_2#3_fastqc.zip
FastQC	all_sections	testT-A.6209_8#3	/projects/barthf/GLASS-WG/results/qc/testT-A/testT-A.6209_8#3_fastqc.zip
FastQC	all_sections	testT-A.6209_4#3	/projects/barthf/GLASS-WG/results/qc/testT-A/testT-A.6209_4#3_fastqc.zip
FastQC	all_sections	testT-A.6209_1#3	/projects/barthf/GLASS-WG/results/qc/testT-A/testT-A.6209_1#3_fastqc.zip
FastQC	all_sections	testT-A.6172_7#3	/projects/barthf/GLASS-WG/results/qc/testT-A/testT-A.6172_7#3_fastqc.zip
FastQC	all_sections	testT-A.6209_5#3	/projects/barthf/GLASS-WG/results/qc/testT-A/testT-A.6209_5#3_fastqc.zip
FastQC	all_sections	testT-A.6206_7#3	/projects/barthf/GLASS-WG/results/qc/testT-A/testT-A.6206_7#3_fastqc.zip
FastQC	all_sections	testT-A.6209_7#3	/projects/barthf/GLASS-WG/results/qc/testT-A/testT-A.6209_7#3_fastqc.zip
FastQC	all_sections	testN-A.6209_3#3	/projects/barthf/GLASS-WG/results/qc/testN-A/testN-A.6209_3#3_fastqc.zip
FastQC	all_sections	testN-A.6206_7#3	/projects/barthf/GLASS-WG/results/qc/testN-A/testN-A.6206_7#3_fastqc.zip
FastQC	all_sections	testN-A.6209_7#3	/projects/barthf/GLASS-WG/results/qc/testN-A/testN-A.6209_7#3_fastqc.zip
FastQC	all_sections	testN-A.6209_8#3	/projects/barthf/GLASS-WG/results/qc/testN-A/testN-A.6209_8#3_fastqc.zip
FastQC	all_sections	testN-A.6209_2#3	/projects/barthf/GLASS-WG/results/qc/testN-A/testN-A.6209_2#3_fastqc.zip
FastQC	all_sections	testN-A.6209_4#3	/projects/barthf/GLASS-WG/results/qc/testN-A/testN-A.6209_4#3_fastqc.zip
FastQC	all_sections	testN-A.6172_7#3	/projects/barthf/GLASS-WG/results/qc/testN-A/testN-A.6172_7#3_fastqc.zip
FastQC	all_sections	testN-A.6209_5#3	/projects/barthf/GLASS-WG/results/qc/testN-A/testN-A.6209_5#3_fastqc.zip
FastQC	all_sections	testN-A.6209_6#3	/projects/barthf/GLASS-WG/results/qc/testN-A/testN-A.6209_6#3_fastqc.zip
FastQC	all_sections	testN-A.6209_1#3	/projects/barthf/GLASS-WG/results/qc/testN-A/testN-A.6209_1#3_fastqc.zip
FastQC	all_sections	testT-B.1	/projects/barthf/GLASS-WG/results/qc/testT-B/testT-B.1_fastqc.zip
